Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance
5000,5000,0.12,36 months,debt_consolidation,0.17,MORTGAGE,6800,16,25524
35000,33500,0.13,60 months,small_business,0.11,MORTGAGE,15583.33,10,9
2225,2225,0.15,36 months,credit_card,0.24,MORTGAGE,3250,9,26854
4000,4000,0.1,36 months,major_purchase,0.05,RENT,3168,5,6916
16000,16000,0.08,36 months,debt_consolidation,0.02,MORTGAGE,7083.33,11,3076
15500,15500,0.18,36 months,debt_consolidation,0.28,OWN,3333.33,10,8692
16000,16000,0.13,60 months,debt_consolidation,0.15,MORTGAGE,7916.67,9,22918
9000,9000,0.13,60 months,debt_consolidation,0.06,RENT,3678.08,8,7556
20000,18275,0.16,60 months,wedding,0.25,MORTGAGE,6000,14,12231
20000,19900,0.18,60 months,credit_card,0.1,MORTGAGE,10000,8,106527
30000,30000,0.23,60 months,debt_consolidation,0.25,RENT,6041.67,12,39144
10000,10000,0.11,36 months,debt_consolidation,0.07,RENT,3833.33,3,10187
14000,14000,0.19,36 months,credit_card,0.31,MORTGAGE,5000,15,12728
5000,4525,0.07,36 months,other,0.01,NONE,1887,4,1275
18000,18000,0.15,60 months,other,0.23,RENT,5734.08,13,2819
10000,10000,0.07,36 months,debt_consolidation,0.19,MORTGAGE,5208.33,8,28302
25975,25975,0.13,60 months,house,0.16,MORTGAGE,4583.33,6,3607
10350,10350,0.14,36 months,car,0.2,RENT,3333.33,10,10841
10850,10850,0.18,36 months,debt_consolidation,0.34,OWN,2708.33,7,9577
4075,4075,0.05,36 months,home_improvement,0.23,MORTGAGE,3750,6,34103
14500,10168.89,0.11,60 months,credit_card,0.14,MORTGAGE,3584.62,6,18555
1000,12000,0.1,36 months,debt_consolidation,0.27,MORTGAGE,5000,12,10490
1000,1000,0.23,36 months,other,0.2,RENT,884.9,4,5561
5900,5900,0.13,36 months,debt_consolidation,0.14,MORTGAGE,3010,8,5921
9950,9925,0.13,36 months,debt_consolidation,0.24,MORTGAGE,2500,17,16618
7200,7200,0.06,36 months,debt_consolidation,0.17,MORTGAGE,3416.67,14,4838
14750,14750,0.17,60 months,debt_consolidation,0.17,MORTGAGE,2500,8,11003
5000,4975,0.17,36 months,other,0.03,RENT,3000,4,2474
20000,20000,0.15,36 months,debt_consolidation,0.19,MORTGAGE,6250,12,14308
18400,18375,0.19,60 months,debt_consolidation,0.23,MORTGAGE,7400,14,10439
7200,4167.97,0.14,36 months,other,0.14,OWN,3583,3,1621
18000,17994.17,0.14,60 months,debt_consolidation,0.02,MORTGAGE,4364.58,9,1721
8000,8000,0.12,36 months,debt_consolidation,0.25,RENT,3166.67,10,5428
4000,4000,0.09,36 months,small_business,0.13,MORTGAGE,5166.67,9,7171
6000,6000,0.13,36 months,debt_consolidation,0.18,RENT,3750,18,14468
6250,6100,0.1,36 months,debt_consolidation,0.18,MORTGAGE,2400,5,14863
5375,5375,0.14,36 months,car,0.15,MORTGAGE,5416.67,13,4087
8875,8875,0.15,36 months,debt_consolidation,0.15,RENT,2302,8,10008
7000,7000,0.11,36 months,debt_consolidation,0.07,RENT,3333.33,7,12168
12000,12000,0.15,36 months,debt_consolidation,0.22,RENT,6416.67,20,11583
21250,21250,0.19,36 months,credit_card,0.27,OWN,4500,15,25287
3600,3600,0.2,60 months,car,0.22,MORTGAGE,3200,13,11702
12000,12000,0.14,36 months,debt_consolidation,0.28,MORTGAGE,3333.33,11,10727
10050,10050,0.14,36 months,credit_card,0.16,RENT,2500,7,13337
4025,4025,0.09,36 months,credit_card,0.15,MORTGAGE,5000,12,15943
5000,5000,0.07,36 months,debt_consolidation,0.01,RENT,5000,8,531
16500,16400,0.12,60 months,small_business,0.12,MORTGAGE,2750,11,2316
10000,10000,0.07,36 months,home_improvement,0.08,MORTGAGE,5833.33,12,3181
7500,212,0.12,36 months,educational,0.21,MORTGAGE,8750,14,20947
10000,10000,0.06,36 months,debt_consolidation,0.25,MORTGAGE,2940.25,8,5904
10000,10000,0.09,36 months,credit_card,0.23,RENT,2083.33,8,12724
18000,18000,0.08,36 months,credit_card,0.18,RENT,5833.33,16,12522
7000,7000,0.16,36 months,credit_card,0.25,MORTGAGE,3833.33,20,18792
22000,21975,0.22,60 months,debt_consolidation,0.34,MORTGAGE,5083.33,14,31152
6000,6000,0.13,36 months,debt_consolidation,0.12,RENT,1000,18,3622
5600,5600,0.07,36 months,wedding,0.07,MORTGAGE,5833.33,8,8125
9500,9500,0.12,36 months,debt_consolidation,0.24,MORTGAGE,2519.17,7,8673
12000,12000,0.13,36 months,debt_consolidation,0.18,MORTGAGE,9666.67,12,17226
7200,7200,0.1,36 months,debt_consolidation,0.09,MORTGAGE,4416.67,10,4137
5000,5000,0.16,36 months,debt_consolidation,0.26,RENT,6612,6,14283
8250,8086.75,0.16,60 months,home_improvement,0.16,MORTGAGE,2917,13,4479
30000,30000,0.22,60 months,debt_consolidation,0.2,MORTGAGE,7916.67,9,4202
10075,10075,0.16,60 months,debt_consolidation,0.24,MORTGAGE,6583.33,15,13259
9050,9050,0.13,36 months,credit_card,0.21,MORTGAGE,5166.67,4,7571
17500,17500,0.1,36 months,credit_card,0.24,MORTGAGE,3333.33,10,21483
10000,5334.01,0.07,36 months,car,0.09,RENT,4166.67,5,6381
10000,10000,0.09,36 months,other,0.2,RENT,2870.42,11,18802
8500,8500,0.16,36 months,debt_consolidation,0.17,RENT,2500,6,6491
16000,15975,0.15,36 months,debt_consolidation,0.2,RENT,3666.67,15,6875
2350,2350,0.14,36 months,credit_card,0.11,MORTGAGE,1833.33,3,7463
10000,9924.07,0.07,36 months,medical,0.05,RENT,6083.33,10,7337
25000,24975,0.16,60 months,debt_consolidation,0.21,MORTGAGE,5458.33,26,27327
8000,8000,0.14,36 months,credit_card,0.27,RENT,3500,19,16395
6000,6000,0.13,36 months,credit_card,0.17,MORTGAGE,4166.67,9,4500
4000,4000,0.13,36 months,credit_card,0.12,RENT,5416.67,12,6616
11500,11500,0.11,36 months,credit_card,0.18,RENT,2916.67,14,13851
12000,12000,0.1,36 months,wedding,0.04,RENT,12500,9,22889
15250,13914.17,0.16,60 months,debt_consolidation,0.21,RENT,2916.67,10,17931
5000,5000,0.13,36 months,debt_consolidation,0.09,RENT,3500,6,3555
6000,6000,0.08,36 months,wedding,0.21,RENT,3750,12,4318
18225,18225,0.16,60 months,credit_card,0.23,RENT,3166.67,7,12233
15000,15000,0.1,36 months,debt_consolidation,0.17,MORTGAGE,6312,17,14339
4000,3882.78,0.06,36 months,moving,0.24,RENT,4666.67,7,2889
27000,27000,0.12,60 months,debt_consolidation,0.18,MORTGAGE,7083.33,13,25137
15000,14925,0.14,36 months,other,0.05,RENT,3000,4,5936
4950,4950,0.1,36 months,other,0.17,RENT,1403.33,4,2738
21000,20925,0.1,36 months,credit_card,0.14,RENT,6250,8,21102
9000,9000,0.15,36 months,credit_card,0.16,RENT,5000,7,4532
21000,21000,0.19,60 months,debt_consolidation,0.32,MORTGAGE,9583.33,19,30589
8000,8000,0.19,36 months,debt_consolidation,0.03,RENT,3333.33,4,2832
23000,21457.14,0.07,60 months,debt_consolidation,0.12,MORTGAGE,4583.33,6,17695
10000,10000,0.15,36 months,debt_consolidation,0.17,MORTGAGE,8333.33,18,39461
5000,4947.35,0.1,60 months,credit_card,0.11,RENT,6400,8,5783
5350,5350,0.1,36 months,home_improvement,0.16,MORTGAGE,11250,11,19184
10000,10000,0.12,36 months,credit_card,0.1,RENT,3500,9,10912
24000,23975,0.1,36 months,debt_consolidation,0.16,MORTGAGE,5416.67,11,17882
24000,24000,0.08,36 months,debt_consolidation,0.14,MORTGAGE,7233.33,6,26039
15475,15450,0.14,36 months,debt_consolidation,0.27,MORTGAGE,3750,14,19670
25000,25000,0.21,36 months,debt_consolidation,0.1,RENT,8333.33,11,8575
13000,12975,0.1,36 months,credit_card,0.16,RENT,2333.33,12,4487
7550,7550,0.08,36 months,wedding,0.15,MORTGAGE,2512,7,2814
9600,9600,0.15,36 months,credit_card,0.33,RENT,3166.67,8,14774
15000,14950,0.15,60 months,debt_consolidation,0.15,RENT,5416.67,11,9171
7000,6975,0.14,36 months,debt_consolidation,0.22,RENT,4166.67,7,60550
1000,1000,0.15,36 months,debt_consolidation,0.29,MORTGAGE,2166.67,9,1748
25000,24798.43,0.13,36 months,debt_consolidation,0.19,RENT,6666.67,13,31890
24000,24000,0.14,36 months,credit_card,0.25,MORTGAGE,11208.33,23,19428
21000,21000,0.18,60 months,debt_consolidation,0.22,RENT,16416.67,21,62549
1000,1000,0.13,36 months,debt_consolidation,0.31,RENT,1833.33,7,6283
16000,16000,0.1,60 months,other,0.17,OWN,5000,6,2300
24400,24400,0.17,60 months,small_business,0.16,RENT,6000,7,13879
14675,14675,0.08,36 months,debt_consolidation,0.17,MORTGAGE,3166.67,7,22549
12000,12000,0.19,36 months,credit_card,0.2,MORTGAGE,4583.33,8,8970
8000,8000,0.13,36 months,credit_card,0.21,OWN,3541.67,13,6885
12000,12000,0.13,36 months,credit_card,0.08,MORTGAGE,3416.67,6,7708
16800,10075,0.11,60 months,debt_consolidation,0.13,MORTGAGE,5416.67,10,7258
14500,14500,0.14,36 months,debt_consolidation,0.18,RENT,3500,7,10846
25000,3925,0.17,36 months,debt_consolidation,0.18,RENT,8000,11,39502
28625,28625,0.13,60 months,debt_consolidation,0.21,MORTGAGE,4833.33,9,35863
21000,21000,0.23,60 months,home_improvement,0.07,MORTGAGE,20833.33,5,1240
7500,7500,0.1,60 months,other,0.15,MORTGAGE,7083.33,11,16449
11875,11775,0.1,36 months,debt_consolidation,0.23,MORTGAGE,6000,11,28210
3600,3600,0.14,36 months,other,0.16,MORTGAGE,5113,10,715
16000,16000,0.15,36 months,debt_consolidation,0.2,RENT,5924.5,11,9365
20500,20500,0.23,60 months,debt_consolidation,0.25,RENT,4333.33,13,4699
10000,10000,0.18,36 months,credit_card,0.24,RENT,6250,9,22828
15000,15000,0.17,60 months,debt_consolidation,0.11,RENT,3333.33,4,6147
10000,10000,0.12,36 months,other,0.22,MORTGAGE,3417,13,18069
11000,11000,0.12,36 months,debt_consolidation,0.08,OWN,3820.27,7,6844
25000,25000,0.19,60 months,credit_card,0.28,RENT,5833.33,20,33127
15000,15000,0.1,36 months,debt_consolidation,0.27,MORTGAGE,7666.67,16,71879
5600,5600,0.14,36 months,debt_consolidation,0.26,RENT,3833.33,19,16163
20000,20000,0.12,36 months,debt_consolidation,0.15,RENT,4583.33,15,16575
25450,25450,0.2,60 months,credit_card,0.34,OWN,4750,20,14435
7000,7000,0.11,36 months,debt_consolidation,0.09,RENT,6333.33,6,349
10400,10400,0.12,36 months,credit_card,0.19,RENT,3333.33,11,11964
25000,24975,0.15,36 months,credit_card,0.16,RENT,7250,6,10770
20000,13000,0.12,36 months,other,0.19,MORTGAGE,7501,17,17212
16000,15800,0.17,60 months,credit_card,0.13,MORTGAGE,4583.33,7,5729
15000,15000,0.08,36 months,major_purchase,0.22,MORTGAGE,7500,10,18756
24625,24625,0.2,60 months,debt_consolidation,0.21,RENT,5166.67,14,20694
21850,21850,0.13,36 months,credit_card,0.28,RENT,4166.67,12,20497
6000,6000,0.15,36 months,debt_consolidation,0.16,MORTGAGE,7500,10,5263
6700,6636.91,0.16,36 months,debt_consolidation,0.22,MORTGAGE,4700,11,9007
10000,9225.43,0.12,36 months,moving,0.1,RENT,7667,9,17328
5775,5775,0.15,36 months,debt_consolidation,0.04,RENT,5000,8,10088
14475,14475,0.15,36 months,credit_card,0.24,RENT,4166.67,12,13294
8000,8000,0.17,36 months,debt_consolidation,0.28,RENT,2833.33,10,9926
15000,15000,0.12,36 months,debt_consolidation,0.14,MORTGAGE,5416.67,10,9237
10000,10000,0.18,36 months,debt_consolidation,0.12,MORTGAGE,4166.67,6,31212
5600,5600,0.13,36 months,debt_consolidation,0.18,RENT,2870.33,6,5033
10000,10000,0.16,60 months,home_improvement,0.15,RENT,2290,5,394
13000,13000,0.14,36 months,debt_consolidation,0.33,MORTGAGE,5000,8,15208
15000,10825,0.1,60 months,debt_consolidation,0.12,MORTGAGE,1958.33,8,3584
2100,2100,0.12,36 months,credit_card,0.26,RENT,2555.16,8,21190
12000,12000,0.12,36 months,debt_consolidation,0.2,MORTGAGE,7666.67,10,5832
1000,212,0.13,36 months,other,0.2,RENT,3500,9,11189
16000,16000,0.14,60 months,small_business,0.08,RENT,4166.67,6,4240
14000,14000,0.08,36 months,credit_card,0.22,RENT,3162.25,12,13579
14000,14000,0.1,36 months,debt_consolidation,0.13,RENT,7916.67,16,19621
20000,3850,0.12,36 months,debt_consolidation,0.15,RENT,6000,8,28585
17000,15865.55,0.11,36 months,debt_consolidation,0.07,MORTGAGE,6333.33,7,6542
7350,7350,0.11,60 months,debt_consolidation,0.3,MORTGAGE,5000,15,15093
10000,9500,0.1,36 months,major_purchase,0.13,RENT,4841.67,4,0
20000,19796.41,0.11,36 months,debt_consolidation,0.08,MORTGAGE,15416.67,10,46501
7000,7000,0.07,36 months,credit_card,0.05,MORTGAGE,3807.64,7,7196
6000,6000,0.12,60 months,other,0.09,RENT,9583.33,12,27756
12000,12000,0.1,36 months,debt_consolidation,0.12,MORTGAGE,5000,6,4515
4225,4225,0.06,36 months,small_business,0.15,MORTGAGE,2583.33,17,3907
14700,1973.77,0.12,36 months,debt_consolidation,0.22,RENT,3100,14,14694
2500,2500,0.07,36 months,debt_consolidation,0.07,MORTGAGE,4750,15,4658
4800,4775,0.15,36 months,moving,0,RENT,2500,4,0
6000,6000,0.16,36 months,credit_card,0.22,RENT,5583.33,9,36748
6000,6000,0.06,36 months,credit_card,0.06,MORTGAGE,7083.33,15,5747
1800,1800,0.15,36 months,other,0.07,MORTGAGE,6416.67,6,3394
7200,7200,0.16,36 months,debt_consolidation,0.25,MORTGAGE,3333.33,13,8903
6000,6000,0.12,36 months,home_improvement,0.24,MORTGAGE,8000,8,16139
15300,14850,0.11,36 months,debt_consolidation,0.11,MORTGAGE,6833.33,11,7106
5000,5000,0.09,36 months,home_improvement,0.04,MORTGAGE,2083.33,4,3901
10500,10500,0.18,36 months,credit_card,0.12,MORTGAGE,4583.33,9,18936
6625,6625,0.18,36 months,debt_consolidation,0.12,RENT,10268.25,9,3563
16000,16000,0.22,60 months,credit_card,0.11,RENT,4791.67,5,8474
22000,22000,0.16,60 months,debt_consolidation,0.26,RENT,4166.67,10,25245
5000,5000,0.15,60 months,house,0.1,RENT,6833.33,11,5045
20000,20000,0.09,36 months,credit_card,0.11,RENT,12083.33,8,25672
1500,1500,0.13,36 months,major_purchase,0.21,MORTGAGE,7083.33,8,4665
8000,8000,0.07,36 months,car,0.03,MORTGAGE,5666.67,7,5964
18225,18225,0.16,60 months,debt_consolidation,0.32,MORTGAGE,7166.67,19,29219
5000,5000,0.08,36 months,debt_consolidation,0.08,MORTGAGE,2916.67,6,12444
10000,10000,0.14,36 months,debt_consolidation,0.11,RENT,2629,5,10029
8000,8000,0.18,36 months,small_business,0.29,RENT,2083.33,4,9059
6000,6000,0.11,36 months,debt_consolidation,0.12,RENT,6000,14,25090
24250,24225,0.19,60 months,debt_consolidation,0.23,RENT,5000,13,14392
8700,8700,0.13,36 months,home_improvement,0.05,RENT,14166.67,11,19036
20400,20375,0.15,60 months,debt_consolidation,0.1,RENT,6733.33,8,11149
9000,9000,0.07,36 months,other,0.16,RENT,3333.33,10,8689
16100,16100,0.11,36 months,debt_consolidation,0.25,MORTGAGE,6250,14,9737
35000,35000,0.21,36 months,debt_consolidation,0.11,MORTGAGE,7702,8,11346
4600,4600,0.08,36 months,debt_consolidation,0.09,MORTGAGE,6500,9,12942
14400,5325,0.14,36 months,credit_card,0.23,MORTGAGE,4583.33,13,17568
5000,5000,0.11,36 months,other,0.14,RENT,3333.33,10,8436
5500,5500,0.19,36 months,home_improvement,0.02,OWN,7500,3,2530
25000,15800,0.14,60 months,debt_consolidation,0.2,MORTGAGE,5416.67,13,21168
5000,5000,0.14,36 months,debt_consolidation,0.11,RENT,10625,8,8054
10000,10000,0.15,36 months,debt_consolidation,0.12,RENT,2791.67,6,12139
20000,13975,0.12,36 months,home_improvement,0.03,MORTGAGE,5050,6,6863
10000,10000,0.17,36 months,debt_consolidation,0.1,RENT,1658,3,4902
17000,17000,0.1,36 months,debt_consolidation,0.24,RENT,5416.67,16,5992
25000,25000,0.22,60 months,credit_card,0.24,MORTGAGE,5000,16,25348
5000,5000,0.08,36 months,debt_consolidation,0.07,RENT,8666.67,9,4572
6000,6000,0.13,36 months,credit_card,0.21,MORTGAGE,5416.67,19,15107
8000,8000,0.17,36 months,credit_card,0.07,RENT,5833.33,8,5350
12000,12000,0.14,36 months,wedding,0.15,RENT,8666.67,10,9624
3000,3000,0.09,36 months,other,0.13,RENT,4500,9,2541
5000,5000,0.06,60 months,major_purchase,0.12,RENT,1667,6,1108
3200,3200,0.1,36 months,debt_consolidation,0.16,MORTGAGE,3750,9,4283
7625,7625,0.18,36 months,credit_card,0.16,RENT,3166.67,4,8030
3000,3000,0.22,60 months,other,0,OWN,1471,3,1275
5000,5000,0.11,36 months,home_improvement,0.07,MORTGAGE,3125,4,7187
18500,18500,0.13,36 months,debt_consolidation,0.08,RENT,5000,6,13490
18000,18000,0.14,36 months,debt_consolidation,0.15,MORTGAGE,4000,11,13877
4200,4200,0.11,36 months,car,0.12,RENT,3000,11,10067
5000,4975,0.07,36 months,vacation,0.02,MORTGAGE,5416.67,8,2937
19000,19000,0.12,60 months,credit_card,0.14,MORTGAGE,4791.67,9,16348
15000,15000,0.17,36 months,debt_consolidation,0.07,RENT,7916.67,5,5355
18625,18625,0.2,60 months,credit_card,0.23,RENT,4000,15,26050
6075,6075,0.08,36 months,debt_consolidation,0.28,RENT,1083.33,8,11539
12500,12500,0.15,36 months,debt_consolidation,0.18,MORTGAGE,3916.67,7,8221
5000,5000,0.15,36 months,debt_consolidation,0.05,RENT,7083.33,12,8225
10000,10000,0.12,36 months,credit_card,0.23,RENT,3083.33,14,13638
8000,8000,0.17,36 months,credit_card,0.21,RENT,3750,6,4010
20000,19975,0.16,36 months,debt_consolidation,0.21,RENT,5000,12,24352
9600,9600,0.13,36 months,credit_card,0.15,RENT,4250,17,7713
3600,3600,0.1,36 months,credit_card,0.11,RENT,2108.33,14,4467
14075,14075,0.19,36 months,other,0.13,RENT,3033.33,6,13036
3000,3000,0.08,36 months,major_purchase,0.11,RENT,3500,9,0
35000,34975,0.1,36 months,debt_consolidation,0.26,RENT,9220,12,40782
1700,1700,0.07,36 months,car,0.05,RENT,2250,4,4527
8800,8800,0.08,36 months,other,0.21,MORTGAGE,4833,6,306
24250,23985.41,0.12,36 months,debt_consolidation,0.18,MORTGAGE,8910.42,16,81940
10750,10166.42,0.11,36 months,credit_card,0.12,MORTGAGE,4416.67,9,12619
6000,6000,0.16,36 months,debt_consolidation,0.25,MORTGAGE,3264,13,6347
15000,15000,0.1,36 months,credit_card,0.19,MORTGAGE,5000,13,33389
15000,15000,0.14,36 months,credit_card,0.16,MORTGAGE,5500,10,12413
10000,10000,0.13,36 months,credit_card,0.14,RENT,7500,12,3235
5950,5950,0.12,36 months,credit_card,0.22,MORTGAGE,5000,9,47746
10000,10000,0.11,36 months,debt_consolidation,0.08,OWN,5833.33,15,11620
4000,4000,0.15,36 months,other,0.11,RENT,2916.67,6,1651
15000,14675,0.08,36 months,home_improvement,0.01,MORTGAGE,10417,8,1343
10000,9850,0.15,36 months,debt_consolidation,0.19,RENT,2500,8,9092
8875,8875,0.13,36 months,other,0.3,OWN,2166.67,9,6797
2400,2400,0.11,36 months,credit_card,0.11,RENT,2000,4,3055
25000,24950,0.21,60 months,debt_consolidation,0.19,RENT,8000,9,19548
5500,5500,0.16,36 months,other,0.19,MORTGAGE,3937.08,6,689
6000,6000,0.13,36 months,credit_card,0.23,RENT,2916.67,11,3334
18000,18000,0.19,60 months,debt_consolidation,0.06,MORTGAGE,7500,8,20675
28000,27975,0.08,36 months,small_business,0.06,MORTGAGE,7000,8,771
32000,32000,0.16,60 months,debt_consolidation,0.15,RENT,7055,8,16174
6000,6000,0.13,36 months,credit_card,0.05,RENT,2625,5,4299
7200,7200,0.09,60 months,debt_consolidation,0.25,MORTGAGE,3750,13,7283
11500,11500,0.11,36 months,debt_consolidation,0.1,RENT,2916.67,6,9562
4800,4800,0.05,36 months,major_purchase,0.1,MORTGAGE,6333.33,13,10704
4000,4000,0.11,36 months,debt_consolidation,0.23,MORTGAGE,2333.33,21,3522
15000,15000,0.11,36 months,other,0.14,RENT,9083.33,11,26902
15000,15000,0.18,36 months,debt_consolidation,0.21,MORTGAGE,5319.17,13,5613
25000,25000,0.12,36 months,debt_consolidation,0.01,MORTGAGE,16666.67,7,2839
4800,4800,0.19,60 months,other,0.28,RENT,1560,9,6563
9500,9500,0.07,36 months,debt_consolidation,0.19,MORTGAGE,3583.33,8,5240
15000,6200,0.13,36 months,home_improvement,0.14,MORTGAGE,8750,8,21702
6000,6000,0.14,36 months,debt_consolidation,0.08,RENT,6250,6,3507
12300,12300,0.06,36 months,debt_consolidation,0.07,RENT,6666.67,10,10976
24000,23950,0.08,36 months,other,0.18,OWN,4250,6,19509
2000,1975,0.11,36 months,other,0.21,MORTGAGE,6833.33,19,20653
14000,14000,0.1,36 months,debt_consolidation,0.23,MORTGAGE,8750,8,25026
10000,10000,0.12,36 months,debt_consolidation,0.06,OWN,5000,5,10752
13000,8113.74,0.1,36 months,small_business,0.16,MORTGAGE,3500,6,0
5000,5000,0.16,60 months,other,0.12,RENT,5416.67,7,8745
6000,5994,0.12,36 months,credit_card,0.12,RENT,2500,6,9482
10050,10050,0.14,36 months,debt_consolidation,0.06,RENT,2916.67,9,7413
4800,4800,0.08,NA,debt_consolidation,0.19,RENT,1887,12,6813
14400,14400,0.11,36 months,debt_consolidation,0.06,MORTGAGE,6833.33,15,10017
11625,11625,0.15,36 months,debt_consolidation,0.17,RENT,2833.33,8,17469
18200,18200,0.1,36 months,credit_card,0.08,RENT,4750,13,16184
20000,19875,0.13,36 months,debt_consolidation,0.16,MORTGAGE,9160,9,32392
9600,9575,0.17,60 months,credit_card,0.13,RENT,3333.33,7,13648
9000,9000,0.12,36 months,car,0,RENT,4833,6,0
35000,35000,0.18,60 months,debt_consolidation,0.28,RENT,8083.33,15,29300
1900,1900,0.08,36 months,debt_consolidation,0.19,MORTGAGE,6000,12,18397
20000,19896.51,0.14,36 months,debt_consolidation,0.15,RENT,5166.67,8,12394
2400,2400,0.1,36 months,wedding,0.1,MORTGAGE,3166.67,6,2174
4500,4500,0.12,36 months,debt_consolidation,0.16,MORTGAGE,3333.33,15,11963
12000,12000,0.12,36 months,debt_consolidation,0.19,MORTGAGE,8750,10,32028
10000,8175.26,0.09,36 months,debt_consolidation,0.06,MORTGAGE,7500,16,18343
11575,11575,0.08,36 months,debt_consolidation,0.17,MORTGAGE,2833.33,8,5654
20000,20000,0.07,36 months,credit_card,0.22,MORTGAGE,8161.33,14,27904
6000,3475,0.15,36 months,debt_consolidation,0.1,RENT,6500,6,4103
2800,2800,0.1,36 months,debt_consolidation,0.2,RENT,3250,4,8717
6000,6000,0.14,36 months,credit_card,0.1,RENT,4250,6,5815
20000,14750,0.07,36 months,debt_consolidation,0.15,RENT,9208,10,20965
22000,22000,0.14,60 months,debt_consolidation,0.18,MORTGAGE,6083.33,9,20181
10000,10000,0.13,36 months,debt_consolidation,0.2,RENT,5416.67,9,8066
9450,9450,0.12,36 months,credit_card,0.12,MORTGAGE,4666.67,13,17639
10400,10325,0.08,36 months,debt_consolidation,0.13,MORTGAGE,6354,10,19656
15875,15818.07,0.15,60 months,debt_consolidation,0.22,RENT,3000,5,14289
18000,18000,0.12,60 months,other,0.15,MORTGAGE,8333.33,7,4038
8000,8000,0.09,36 months,other,0.03,RENT,5000,8,5540
12000,12000,0.14,36 months,moving,0.2,RENT,4166.67,8,14163
20000,12150,0.07,60 months,debt_consolidation,0.12,OWN,5000,9,7960
10000,10000,0.17,36 months,debt_consolidation,0.19,RENT,2916.67,9,7565
24500,23475,0.19,60 months,debt_consolidation,0.23,RENT,4497,13,18906
10000,10000,0.12,36 months,debt_consolidation,0.2,RENT,6250,17,16348
3600,3600,0.08,36 months,credit_card,0.26,MORTGAGE,4166.67,19,25
12000,12000,0.17,60 months,debt_consolidation,0.07,MORTGAGE,5445,8,4904
6950,6950,0.11,36 months,credit_card,0.21,OWN,4583.33,7,18814
8525,8525,0.1,36 months,debt_consolidation,0.26,MORTGAGE,4583.33,8,31398
5000,5000,0.14,36 months,credit_card,0.29,RENT,2750,14,5957
4800,4800,0.18,60 months,debt_consolidation,0.14,RENT,3750,13,16302
6000,6000,0.13,36 months,debt_consolidation,0.21,MORTGAGE,5000,11,4363
4000,4000,0.19,60 months,small_business,0.09,RENT,3700,19,2177
14000,14000,0.06,36 months,debt_consolidation,0.15,RENT,7500,12,16648
23500,23450,0.15,36 months,debt_consolidation,0.19,RENT,4000,7,20542
2500,2500,0.16,36 months,major_purchase,0.24,MORTGAGE,1500,10,2684
2000,2000,0.06,36 months,major_purchase,0.03,RENT,1600,9,736
24000,23925,0.16,60 months,credit_card,0.12,MORTGAGE,7800,11,20676
12800,12800,0.11,60 months,debt_consolidation,0.07,MORTGAGE,4166.67,7,11992
8000,8000,0.08,36 months,wedding,0.22,RENT,5166.67,5,0
3000,3000,0.1,36 months,credit_card,0.21,OWN,2333.33,10,3168
7000,7000,0.08,36 months,credit_card,0.01,RENT,12500,4,5093
18000,17975,0.13,36 months,credit_card,0.06,MORTGAGE,8333.33,13,14838
9000,5975,0.14,36 months,debt_consolidation,0.08,MORTGAGE,4167,7,19696
11000,11000,0.11,36 months,debt_consolidation,0.04,MORTGAGE,6666.67,11,4124
6000,6000,0.08,36 months,major_purchase,0.15,RENT,4416.67,10,2928
6500,6475,0.08,36 months,debt_consolidation,0.18,RENT,1500,5,2816
19500,19500,0.18,36 months,credit_card,0.1,RENT,10000,16,14957
16000,16000,0.17,60 months,major_purchase,0.19,RENT,7000,7,5231
18000,17950,0.14,60 months,debt_consolidation,0.14,MORTGAGE,12916.67,11,14890
30000,29975,0.23,60 months,debt_consolidation,0.17,MORTGAGE,7083.33,21,56145
10000,10000,0.14,36 months,debt_consolidation,0.06,RENT,8750,14,11394
16000,15900,0.16,60 months,debt_consolidation,0.13,MORTGAGE,5427.42,11,19407
35000,35000,0.18,36 months,debt_consolidation,0.12,MORTGAGE,13333.33,12,21393
8000,8000,0.14,36 months,wedding,0.1,RENT,7758.33,6,12110
14500,14500,0.13,36 months,debt_consolidation,0.28,MORTGAGE,5988.67,12,18020
12000,11925,0.11,36 months,other,0.19,RENT,5000,9,11779
4500,4500,0.13,36 months,car,0.01,RENT,11500,5,1847
16500,16350,0.12,36 months,debt_consolidation,0.17,RENT,4810.08,7,24351
10000,10000,0.1,36 months,debt_consolidation,0.14,MORTGAGE,3666.67,9,17161
35000,35000,0.19,60 months,credit_card,0.13,MORTGAGE,9166.67,7,26633
21000,6165.31,0.11,36 months,home_improvement,0.21,OWN,18333.33,31,270800
8400,6725,0.15,36 months,debt_consolidation,0.16,RENT,7083.33,7,14578
6000,6000,0.08,36 months,credit_card,0.09,OWN,1750,14,5056
12000,12000,0.19,36 months,debt_consolidation,0.15,OWN,4166.67,3,6309
12100,12100,0.17,36 months,small_business,0.11,MORTGAGE,6166.67,5,2081
25000,25000,0.14,36 months,home_improvement,0.05,MORTGAGE,6833.33,5,8811
16000,15925,0.06,36 months,debt_consolidation,0.14,MORTGAGE,7333.33,11,71838
